zone_name,unit_price,area,building_age,floor_ratio,green_ratio,distance_cbd_km,transaction_month
东港里,27200,72,18,2.4,0.31,7.8,2025-01
河湾社区,31600,88,10,2.1,0.38,6.2,2025-01
西城旧里,25800,65,25,2.8,0.26,8.5,2025-01
东港里,27800,76,17,2.4,0.31,7.8,2025-02
河湾社区,32100,92,9,2.1,0.38,6.2,2025-02
西城旧里,26200,68,24,2.8,0.26,8.5,2025-02
东港里,28100,80,16,2.4,0.31,7.8,2025-03
河湾社区,32500,96,8,2.1,0.38,6.2,2025-03
西城旧里,26600,70,23,2.8,0.26,8.5,2025-03
东港里,28500,84,15,2.4,0.31,7.8,2025-04
河湾社区,32900,100,7,2.1,0.38,6.2,2025-04
西城旧里,26900,73,22,2.8,0.26,8.5,2025-04
东港里,28900,87,14,2.4,0.31,7.8,2025-05
河湾社区,33300,104,6,2.1,0.38,6.2,2025-05
西城旧里,27300,76,21,2.8,0.26,8.5,2025-05
东港里,29200,90,13,2.4,0.31,7.8,2025-06
河湾社区,33700,108,5,2.1,0.38,6.2,2025-06
西城旧里,27600,79,20,2.8,0.26,8.5,2025-06
东港里,29600,93,12,2.4,0.31,7.8,2025-07
河湾社区,34100,112,4,2.1,0.38,6.2,2025-07
西城旧里,28000,82,19,2.8,0.26,8.5,2025-07
东港里,29900,96,11,2.4,0.31,7.8,2025-08
河湾社区,34500,116,3,2.1,0.38,6.2,2025-08
西城旧里,28300,85,18,2.8,0.26,8.5,2025-08
东港里,30300,99,10,2.4,0.31,7.8,2025-09
河湾社区,34900,120,2,2.1,0.38,6.2,2025-09
西城旧里,28700,88,17,2.8,0.26,8.5,2025-09
东港里,30600,102,9,2.4,0.31,7.8,2025-10
河湾社区,35300,124,1,2.1,0.38,6.2,2025-10
西城旧里,29000,91,16,2.8,0.26,8.5,2025-10
